song,artist,track_id,album_id,album_name,artist_id,popularity,release_date,track_duration_ms
Parchman Farm,Hot Tuna,6vClqHgWcaD1tXUTksjBE7,2sCB5uZ3veETzhXubfC1LB,"Hot Tuna 2009-12-06 Hampton Beach Performing Arts Center, Westhampton, NY",5tOrTQaBRD5yPHqbEwsRn7,0.0,2010-12-07,416706.0
A Lo Clasico,Daddy Yankee,32ioj0lDP1J5nB6oZ8GyRv,6FwmC2DvXlzz23X8nAWMbN,El Cartel: The Big Boss,4VMYDCV2IEDYJArk749S6m,29.0,2007-06-05,235093.0
Zhi Xiang Ni hui Yi,Hacken Lee,03K2UkweIPMAFzS59lM8sC,3Dc8vyw8nSjhOyZkNzExqc,Joey Yung X Hacken Lee Concert 2015 (Live),3PV11RNUoGfX9tMN2wVljB,28.0,2015-12-24,147613.0
Amaze,Jimmy Riley,6uODYbYX4kJNj6Y4Gz8PFG,48XdMAAT8UvvtefHR3NxA1,"Sons Of Jamaica, Vol. 2",30ab9kzEA26zJbWokBNGRs,0.0,2015,218893.0
Radio Rape,The Cortinas,19mca6YZHbP6zIDs2VlLZM,72ISQBRyI7L0hJTqkyJc5M,Please Don't Hit Me,05KReEfZQ1BprHcUudUGLy,0.0,1978,221266.0
"""Ain't No Game""",Masta Ace Incorporated,2mOuYdlAW741mK3VlZrigQ,2q1spdp27utA1XbwK9Eb7q,Sittin' On Chrome,2tcM9c26zzqpFdijVdVwuB,11.0,1995-01-01,295106.0
Cavaleiro De Aruanda,Jongo Trio,4qS6VvCj0Y0ON8wKpawbd8,6TE7pA3bcJ0PhO5QpJFGCq,Jongo Trio,433JDGSbrDCLpYXZG4feGL,10.0,2002-01-01,158106.0
TELL ME WHY,George Nooks,0jvoOrQ2AChZVnMXHBBnlS,4MxcAAJz7ye2yxnE2Fpd9J,RIDDIM DRIVEN - SLOW DOWN THE PACE,1jyzRJg5CTkCqphWwfjFGO,2.0,2007-12-04,221906.0
Czwarty,Energy,2aJZm9Vau6PEY713J6SteL,5kjU1BdZTLaJy9lr9lQt4J,Energy,3ptuQYWVAbcWl3wrRkE6ku,0.0,1999,310933.0
Washington Post (1998 Digital Remaster),Felix Slatkin/Concert Arts Symphonic Band,187zdtmVzYDsUWfYzcbYn3,1HqZAi5x7NQXMronO6GYRn,The Military Band: Salute To The Services,6jNyNAMv2gNLnfaP0bzo7y,1.0,1998-01-01,151413.0
No Pienses Asi,Eddie Palmieri,53Q5Xu6PPnI7LDiVXFMMKB,1u5NJWGvk7DOviYX8HxXnF,Gold - 1973-1976,2VviFtXYreO6Zn9n8Ibk6C,7.0,1976-12-31,263111.0
Forever,Chris Brown,3NZJlJemX3mzjf56MqC5ML,248cu9M1nYCijfXswwZ8uW,Forever,7bXgB6jMjp9ATFy66eO08Z,77.0,2008-04-29,278573.0
Amor a Medias,HA-ASH,1zzwIjjJSTaKWB4PuuWMeC,3wEMYca7zqRh3KCTDXPJcl,Mundos Opuestos,5xd2Tg7Zo8755eCy8Gxkp8,53.0,2005,254826.0
15 Step,Radiohead,4oXg7xT4ksBxHTx8PcmSXw,5vkqYmiPBYLaalcmjujWxK,In Rainbows,4Z8W4fKeB5YxbusRsdQVPb,64.0,2007-12-28,237293.0
I Love Your Way,Kashief Lindo,25MF3OTFSLoiVPf2CyX8uo,3lIXBbUKL63RZwtOWZ9gTf,Love Knows The Way,5OUbkehpd3H7pV8DKcQlNt,1.0,2005,210520.0
"""Lookin' For Me Somewhere""",BoDeans,5dcAaA6viLaoW1wq8tJP1u,6uNEQDYb5CxjHmKGE1A5lQ,Love & Hope & Sex & Dreams,2D2qwEatKbBSKhBCfP6lyn,23.0,1986-04-16,181733.0
Raise Your Hands,Bon Jovi,7oJXOVieUvG8e9HDRhZGPK,0kBfgEilUFCMIQY5IOjG4t,Slippery When Wet,58lV9VcRSjABbAbfWS6skp,49.0,1986-08-16,256733.0
Champagne & Reefer,Bongzilla,6KlBm9gH1FHWb5EEodViFj,0vkmX4q1aI3MuW7p0YK9B7,Amerijuanican,1qPFzP54oMjiPXpmneoIwF,21.0,2005-09-27,286586.0
"""No More Doggin'""",Otis Spann,3snXMKwL1Z46QOC2LgsZos,3c4ALOvwjqyHULa9T7jNqX,The Biggest Thing Since Colossus,0xeI9Z0Uhs8bYGBRpqq88X,5.0,1969-03-25,177373.0
